Amrinone,"Cardiomyopathy, Dilated"
Anastrozole,Breast Neoplasms
Anastrozole,"Fibrous Dysplasia, Polyostotic"
Anisindione,"Atrial Fibrillation, Familial, 3; Atfb3"
Apomorphine,"Paralysis Agitans, Juvenile, Of Hunt"
Apomorphine,Parkinson Disease
Ardeparin,Thrombosis
Argatroban,Thrombosis
Aripiprazole,Obsessive-Compulsive Disorder
Aripiprazole,Schizophrenia; Sczd
Arsenic Trioxide,Mismatch Repair Cancer Syndrome
Aspirin,Antiphospholipid Syndrome
Aspirin,Joint Diseases
Aspirin,CADASIL
Aspirin,"Hyperthermia, Cutaneous, With Headaches And Nausea"
Aspirin,Insensitivity To Pain With Hyperplastic Myelinopathy
Aspirin,Legg-Calve-Perthes Disease
Aspirin,"Migraine With Or Without Aura, Susceptibility To, 1"
Aspirin,Osteoarthritis Susceptibility 1; Os1
Aspirin,Osteoarthritis Susceptibility 2; Os2
Aspirin,Osteoarthritis Susceptibility 3; Os3
Aspirin,"Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando"
Aspirin,"Stroke, Ischemic"
Aspirin,"Lupus Erythematosus, Systemic"
Astemizole,Insect Bites and Stings
Atazanavir,Autoimmune Disease
Atenolol,"Blepharophimosis, Ptosis, And Epicanthus Inversus; Bpes"
Atenolol,"Mitral Valve Prolapse, Familial; Mvp"
Atomoxetine,Attention Deficit Disorder with Hyperactivity
Atorvastatin,Hyperlipoproteinemia Type II
Atropine,Enterocolitis
Atropine,"Tremor, Nystagmus, And Duodenal Ulcer"
Auranofin,Felty Syndrome
Azacitidine,Classical Lissencephalies and Subcortical Band Heterotopias
Azacitidine,Onychotrichodysplasia And Neutropenia
Azacitidine,"Portal Vein, Cavernous Transformation Of"
Azathioprine,"Ataxia, Early-Onset, With Oculomotor Apraxia And Hypoalbuminemia;"
Azathioprine,"Growth Retardation, Small And Puffy Hands And Feet, And Eczema"
Azathioprine,Inflammatory Bowel Disease 1; Ibd1
Azathioprine,Multiple Sclerosis
Azathioprine,Myasthenia Gravis
Azathioprine,"Myopathy, Distal, With Onset In Infancy"
Azathioprine,Sarcoidosis
Azathioprine,"Lupus Erythematosus, Systemic"
Azathioprine,"Purpura, Thrombocytopenic, Idiopathic"
Azelaic Acid,"Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne"
Baclofen,"Choreoathetosis/Spasticity, Episodic; Cse"
Baclofen,"Dystonia 4, Torsion, Autosomal Dominant; Dyt4"
Baclofen,Huntington Disease
Baclofen,Insensitivity To Pain With Hyperplastic Myelinopathy
Baclofen,Multiple Sclerosis
Baclofen,"Spastic Paralysis, Infantile-Onset Ascending; Iahsp"
Baclofen,Torticollis
Baclofen,Trigeminal Neuralgia
Balsalazide,Inflammatory Bowel Disease 1; Ibd1
Beclomethasone,"Asthma, Nasal Polyps, And Aspirin Intolerance"
Beclomethasone,Asthma
Benazepril,"Hypertension, Diastolic, Resistance To"
Benazepril,"Hypoparathyroidism, Sensorineural Deafness, And Renal Disease"
Benazepril,"Renal Failure, Progressive, With Hypertension"
Bendroflumethiazide,"Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency"
Bendroflumethiazide,Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Bendroflumethiazide,"Hypertension, Diastolic, Resistance To"
Bendroflumethiazide,Nephrotic Syndrome
Bendroflumethiazide,"Renal Failure, Progressive, With Hypertension"
Benzocaine,Insensitivity To Pain With Hyperplastic Myelinopathy
Benzocaine,Otitis Media
Benzonatate,"Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux"
Benzphetamine,Choroideremia
Benzphetamine,Obesity
Benzphetamine,Prolactin Deficiency With Obesity And Enlarged Testes
Benzquinamide,"Hyperthermia, Cutaneous, With Headaches And Nausea"
Benztropine,Dementia/Parkinsonism With Non-Alzheimer Amyloid Plaques
Benztropine,"Paralysis Agitans, Juvenile, Of Hunt"
Benztropine,Parkinson Disease
Bepridil,"Hypertension, Diastolic, Resistance To"
Bepridil,"Renal Failure, Progressive, With Hypertension"
Betamethasone,"Dermatitis, Atopic"
Betamethasone,Dermatosis Papulosa Nigra
Betamethasone,Exostoses Of Heel
Betamethasone,Lichen Sclerosus et Atrophicus
Betaxolol,"Glaucoma 1, Open Angle, A; Glc1A"
Betaxolol,"Hypertension, Diastolic, Resistance To"
Betaxolol,"Renal Failure, Progressive, With Hypertension"
Bethanechol,Gastroesophageal Reflux
Bethanechol,"Tooth, Supernumerary"
Bethanechol,"Urinary Bladder, Atony Of"
Bexarotene,Mismatch Repair Cancer Syndrome
Bexarotene,Mycosis Fungoides
Bicalutamide,Prostate Cancer
Bimatoprost,"Glaucoma 1, Open Angle, A; Glc1A"
Bimatoprost,"Glaucoma 1, Open Angle, C; Glc1C"
Bimatoprost,"Glaucoma, Primary Open Angle; Poag"
Bimatoprost,"Renal Failure, Progressive, With Hypertension"
Biperiden,Dementia/Parkinsonism With Non-Alzheimer Amyloid Plaques
Biperiden,"Paralysis Agitans, Juvenile, Of Hunt"
Bismuth,Helicobacter pylori
Bisoprolol,"Blepharophimosis, Ptosis, And Epicanthus Inversus; Bpes"
Bisoprolol,"Mitral Valve Prolapse, Familial; Mvp"
Bitolterol,"Asthma, Nasal Polyps, And Aspirin Intolerance"
Bitolterol,Asthma
Bleomycin,Hodgkin Disease
Bleomycin,"Anemia, Refractory, with Excess of Blasts"
Bleomycin,"Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall"
Bleomycin,"Melanoma, Cutaneous Malignant, Susceptibility To, 2; Cmm2"
Bleomycin,"Melanoma, Cutaneous Malignant; Cmm"
Bleomycin,"Lymphoma, Non-Hodgkin"
Bleomycin,Testicular Neoplasms
Bortezomib,Myeloma Proteins
Bosentan,Familial Primary Pulmonary Hypertension
Bosentan,"Renal Failure, Progressive, With Hypertension"
Brimonidine,"Glaucoma 1, Open Angle, A; Glc1A"
Brimonidine,"Glaucoma 1, Open Angle, C; Glc1C"
Brimonidine,"Glaucoma, Primary Open Angle; Poag"
Brimonidine,"Renal Failure, Progressive, With Hypertension"
Brinzolamide,"Glaucoma 1, Open Angle, A; Glc1A"
Brinzolamide,"Glaucoma 1, Open Angle, C; Glc1C"
Brinzolamide,"Glaucoma, Primary Open Angle; Poag"
Brinzolamide,"Renal Failure, Progressive, With Hypertension"
Bromfenac,Cataract And Cardiomyopathy
Bromfenac,"Cataract, Aberrant Oral Frenula, And Growth Retardation"
Bromocriptine,"Paralysis Agitans, Juvenile, Of Hunt"
Buclizine,"Hyperthermia, Cutaneous, With Headaches And Nausea"
Budesonide,"Asthma, Nasal Polyps, And Aspirin Intolerance"
Budesonide,Asthma
Budesonide,"Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification"
Budesonide,Inflammatory Bowel Disease 1; Ibd1
Budesonide,Crohn Disease
Bumetanide,Diffuse Cerebral Sclerosis of Schilder
Bumetanide,Chylous Ascites
Bumetanide,"Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification"
Bumetanide,"Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency"
Bumetanide,Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Bumetanide,"Hypertension, Diastolic, Resistance To"
Bumetanide,"Hypoparathyroidism, Sensorineural Deafness, And Renal Disease"
Bumetanide,Nephrotic Syndrome
Bumetanide,Osteolysis
Bumetanide,"Renal Failure, Progressive, With Hypertension"
Bupivacaine,Insensitivity To Pain With Hyperplastic Myelinopathy
Buprenorphine,Insensitivity To Pain With Hyperplastic Myelinopathy
Bupropion,Attention Deficit Disorder with Hyperactivity
Bupropion,Panic Disorder 1; Pand1
Bupropion,Prolactin Deficiency With Obesity And Enlarged Testes
Buspirone,"Alopecia, Psychomotor Epilepsy, Pyorrhea, And Mental Subnormality"
Buspirone,Mental And Growth Retardation With Amblyopia
Buspirone,Kearns-Sayre Syndrome
Buspirone,"Ossified Ear Cartilages With Mental Deficiency, Muscle Wasting, And"
Buspirone,Panic Disorder 1; Pand1
Buspirone,"Spondyloepimetaphyseal Dysplasia, X-Linked, With Mental Deterioration"
Busulfan,Dohle Bodies And Leukemia
Busulfan,"Leukemia, Acute Myelocytic, With Polyposis Coli And Colon Cancer"
Busulfan,Mismatch Repair Cancer Syndrome
Busulfan,Primary Myelofibrosis
Busulfan,Polycythemia Vera
Butalbital,"Hyperthermia, Cutaneous, With Headaches And Nausea"
Butalbital,"Migraine With Or Without Aura, Susceptibility To, 1"
Butorphanol,Insensitivity To Pain With Hyperplastic Myelinopathy
Cabergoline,Prolactinoma
Caffeine,Flushing Of Ears And Somnolence
Caffeine,"Hyperthermia, Cutaneous, With Headaches And Nausea"
Caffeine,Insensitivity To Pain With Hyperplastic Myelinopathy
Caffeine,"Migraine With Or Without Aura, Susceptibility To, 1"
Caffeine,Osteoarthritis Susceptibility 2; Os2
Calcitriol,"Hypoparathyroidism, Sensorineural Deafness, And Renal Disease"
Calcitriol,"Vitamin D-Dependent Rickets, Type 2A; Vddr2A"
Calcitriol,"Vitamin E, Familial Isolated Deficiency Of; Ved"
Candesartan,"Hypertension, Diastolic, Resistance To"
Candesartan,"Renal Failure, Progressive, With Hypertension"
Capecitabine,Breast Neoplasms
Capecitabine,Colorectal Neoplasms
Capecitabine,Stomach Neoplasms
Capecitabine,Mismatch Repair Cancer Syndrome
Capecitabine,Prostate Cancer
Capecitabine,"Carcinoma, Renal Cell"
Captopril,Bartter Syndrome
Captopril,"Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency"
Captopril,Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Captopril,"Hypertension, Diastolic, Resistance To"
Captopril,"Hypoparathyroidism, Sensorineural Deafness, And Renal Disease"
Captopril,Raynaud Disease
Captopril,"Renal Failure, Progressive, With Hypertension"
Carbamazepine,"Alopecia, Psychomotor Epilepsy, Pyorrhea, And Mental Subnormality"
Carbamazepine,"Dystonia 4, Torsion, Autosomal Dominant; Dyt4"
Carbamazepine,"Optic Atrophy, Hearing Loss, And Peripheral Neuropathy, Autosomal"
Carbamazepine,Restless Legs Syndrome
Carbamazepine,Schizophrenia; Sczd
Carbamazepine,Trigeminal Neuralgia
Carbidopa,Dementia/Parkinsonism With Non-Alzheimer Amyloid Plaques
Carbidopa,"Paralysis Agitans, Juvenile, Of Hunt"
Carbidopa,Parkinson Disease
Carbidopa,Restless Legs Syndrome
Carboplatin,Urinary Bladder Neoplasms
Carboplatin,Esophageal Cancer
Carboplatin,Mismatch Repair Cancer Syndrome
Carboplatin,Osteosarcoma
Carmustine,Glioma Susceptibility 1; Glm1
Carmustine,Hodgkin Disease
Carmustine,"Anemia, Refractory, with Excess of Blasts"
Carmustine,"Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall"
Carmustine,Mismatch Repair Cancer Syndrome
Carmustine,Myeloma Proteins
Carmustine,"Lymphoma, Non-Hodgkin"
Carteolol,"Glaucoma 1, Open Angle, A; Glc1A"
Carteolol,"Hypertension, Diastolic, Resistance To"
Carteolol,"Renal Failure, Progressive, With Hypertension"
Carvedilol,"Atrial Fibrillation, Familial, 3; Atfb3"
Carvedilol,"Hypertension, Diastolic, Resistance To"
Carvedilol,"Renal Failure, Progressive, With Hypertension"
Cefazolin,Gallbladder Disease 
Cefdinir,"Asthma, Nasal Polyps, And Aspirin Intolerance"
Cefdinir,Otitis Media
Celecoxib,Adenomatous Polyposis Coli
Celecoxib,Joint Diseases
Celecoxib,"Fibromatosis, Gingival"
Celecoxib,Insensitivity To Pain With Hyperplastic Myelinopathy
Celecoxib,"Leukemia, Acute Myelocytic, With Polyposis Coli And Colon Cancer"
Celecoxib,Osteoarthritis Susceptibility 1; Os1
Celecoxib,Osteoarthritis Susceptibility 2; Os2
Celecoxib,Osteoarthritis Susceptibility 3; Os3
Celecoxib,Polyposis Of Gastric Fundus Without Polyposis Coli
Celecoxib,"Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando"
Chlordiazepoxide,Alcohol Dependence
Chlordiazepoxide,Enterocolitis
Chloroprocaine,Insensitivity To Pain With Hyperplastic Myelinopathy
Chloroquine,Sarcoidosis
Chlorothiazide,Diffuse Cerebral Sclerosis of Schilder
Chlorothiazide,"Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification"
Chlorothiazide,"Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency"
Chlorothiazide,Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Chlorothiazide,"Hypertension, Diastolic, Resistance To"
Chlorothiazide,Nephrotic Syndrome
Chlorothiazide,"Renal Failure, Progressive, With Hypertension"
Chlorpromazine,"Hyperthermia, Cutaneous, With Headaches And Nausea"
Chlorpromazine,Schizophrenia; Sczd
Chlorpropamide, Diabetes Mellitus 
Chlorpropamide,"Maturity-Onset Diabetes Of The Young, Type 1; Mody1"
Chlorpropamide,"Maturity-Onset Diabetes Of The Young, Type 2; Mody2"
Chlorpropamide,"Maturity-Onset Diabetes Of The Young, Type 3; Mody3"
Chlorthalidone,"Hypertension, Diastolic, Resistance To"
Chlorthalidone,"Renal Failure, Progressive, With Hypertension"
Chlorzoxazone,Insensitivity To Pain With Hyperplastic Myelinopathy
Cholecalciferol,Hajdu-Cheney Syndrome
Cholecalciferol,Inflammatory Bowel Disease 1; Ibd1
Cholecalciferol,Osteoporosis
Choline,Joint Diseases
Choline,Insensitivity To Pain With Hyperplastic Myelinopathy
Choline,Osteoarthritis Susceptibility 1; Os1
Choline,Osteoarthritis Susceptibility 2; Os2
Choline,Osteoarthritis Susceptibility 3; Os3
Choline,"Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando"
Ciclesonide,"Asthma, Nasal Polyps, And Aspirin Intolerance"
Ciclopirox,"Candidiasis, Familial, 1; Candf1"
Ciclopirox,Dermatosis Papulosa Nigra
Cimetidine,Gastroesophageal Reflux
Cimetidine,"Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked;"
Cimetidine,Prolactin Deficiency With Obesity And Enlarged Testes
Cimetidine,"Tremor, Nystagmus, And Duodenal Ulcer"
Ciprofloxacin,"Asthma, Nasal Polyps, And Aspirin Intolerance"
Ciprofloxacin,"Hyperthermia, Cutaneous, With Headaches And Nausea"
Ciprofloxacin,Inflammatory Bowel Disease 1; Ibd1
Ciprofloxacin,Onychotrichodysplasia And Neutropenia
Ciprofloxacin,Otitis Media
Cisapride,"Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked;"
Cisplatin,Urinary Bladder Neoplasms
Cisplatin,Esophageal Cancer
Cisplatin,Hodgkin Disease
Cisplatin,Mismatch Repair Cancer Syndrome
Cisplatin,Myeloma Proteins
Cisplatin,Neuroblastoma
Cisplatin,Osteosarcoma
Cisplatin,Small Cell Lung Carcinoma
Cisplatin,Testicular Neoplasms
Citalopram,Alcohol Dependence
Citalopram,Camurati-Engelmann Syndrome
Citalopram,"Encephalopathy With Intracranial Calcification, Growth Hormone Deficiency,"
Citalopram,Leigh Disease
Citalopram,"Encephalopathy, Axonal, With Necrotizing Myopathy, Cardiomyopathy,"
Citalopram,Obsessive-Compulsive Disorder
Citalopram,Panic Disorder 1; Pand1
Citalopram,"Peripheral Neuropathy, Ataxia, Focal Necrotizing Encephalopathy, And"
Citalopram,"Spastic Paraplegia, Optic Atrophy, And Dementia"
Citric Acid,"Nephrolithiasis, X-Linked Recessive, With Renal Failure; Xrn"
Citric Acid,"Renal Tubular Acidosis, Distal, Autosomal Dominant"
Citric Acid,"Renal Tubular Acidosis, Proximal"
Citric Acid,"Renal Tubular Acidosis, Proximal, With Ocular Abnormalities And Mental"
Cladribine,"Anemia, Refractory, with Excess of Blasts"
Cladribine,"Leukemia, Lymphocytic, Chronic, B-Cell"
Cladribine,Mismatch Repair Cancer Syndrome
Cladribine,Multiple Sclerosis
Cladribine,Onychotrichodysplasia And Neutropenia
Clidinium,Enterocolitis
Clidinium,Crohn Disease
Clobetasol,Dermatosis Papulosa Nigra
Clobetasol,Lichen Sclerosus et Atrophicus
Clofarabine,"Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall"
Clofibrate,Hyperlipoproteinemia Type V
Clomifene,Azoospermia
Clomipramine,Obsessive-Compulsive Disorder
Clomipramine,Panic Disorder 1; Pand1
Clonazepam,"Acromegaloid Changes, Cutis Verticis Gyrata, And Corneal Leukoma"
Clonazepam,Joint Diseases
Clonazepam,"Myoclonic Epilepsy, Juvenile"
Clonazepam,Unverricht-Lundborg Syndrome
Clonazepam,Osteoarthritis Susceptibility 1; Os1
Clonazepam,Osteoarthritis Susceptibility 2; Os2
Clonazepam,Osteoarthritis Susceptibility 3; Os3
Clonazepam,Panic Disorder 1; Pand1
Clonazepam,Restless Legs Syndrome
Clonazepam,Schizophrenia; Sczd
Clonazepam,"Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando"
Clonidine,"Atrial Fibrillation, Familial, 3; Atfb3"
Clonidine,Attention Deficit Disorder with Hyperactivity
Clonidine,"Choreoathetosis/Spasticity, Episodic; Cse"
Clonidine,Tourette Syndrome
Clonidine,Hyperhidrosis Palmaris Et Plantaris
Clonidine,"Hypertension, Diastolic, Resistance To"
Clonidine,Insensitivity To Pain With Hyperplastic Myelinopathy
Clonidine,Pheochromocytoma
Clonidine,"Renal Failure, Progressive, With Hypertension"
Clonidine,Restless Legs Syndrome
Clopidogrel,CADASIL
Clopidogrel,MELAS Syndrome
Clopidogrel,"Stroke, Ischemic"
Clotrimazole,"Candidiasis, Familial, 1; Candf1"
Clotrimazole,"Candidiasis, Familial, 2; Candf2"
Clozapine,Schizophrenia; Sczd
Cocaine,Insensitivity To Pain With Hyperplastic Myelinopathy
Cocaine,"Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux"
Codeine,"Hyperthermia, Cutaneous, With Headaches And Nausea"
Codeine,"Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux"
Codeine,Osteoarthritis Susceptibility 2; Os2
Colchicine,Familial Mediterranean Fever
Conjugated Estrogens,Hajdu-Cheney Syndrome
Conjugated Estrogens,Breast Neoplasms
Conjugated Estrogens,"Chorioretinal Dystrophy, Spinocerebellar Ataxia, And Hypogonadotropic"
Conjugated Estrogens,Primary Ovarian Insufficiency
Conjugated Estrogens,Prostate Cancer
Conjugated Estrogens,"Prostate Cancer, Hereditary, 1; Hpc1"
Conjugated Estrogens,Uterine Anomalies
Cromoglicate,"Asthma, Nasal Polyps, And Aspirin Intolerance"
Cromoglicate,Asthma
Cromoglicate,Crohn Disease
Cyanocobalamin,"Anemia, Pernicious"
Cyclizine,"Hyperthermia, Cutaneous, With Headaches And Nausea"
Cyclobenzaprine,Acanthosis Nigricans With Muscle Cramps And Acral Enlargement
Cyclobenzaprine,"Choreoathetosis/Spasticity, Episodic; Cse"
Cyclobenzaprine,Insensitivity To Pain With Hyperplastic Myelinopathy
Cyclobenzaprine,"Migraine With Or Without Aura, Susceptibility To, 1"
Cyclobenzaprine,Myositis
Cyclosporine,Myasthenia Gravis
Cyclosporine,"Lupus Erythematosus, Systemic"
Cyproheptadine,Blepharospasm
Cyproheptadine,Branchial Myoclonus With Spastic Paraparesis And Cerebellar Ataxia
Cyproheptadine,Cranial Nerves
Cyproheptadine,"Dyskinesia, Familial, With Facial Myokymia"
Cyproheptadine,Insect Bites and Stings
Cyproheptadine,"Migraine With Or Without Aura, Susceptibility To, 1"
Cyproheptadine,"Migraine, Familial Typical, Susceptibility To, 2"
Cyproheptadine,Schizophrenia; Sczd
Cyproheptadine,"Paraparesis, Spastic"
Cytarabine,Dohle Bodies And Leukemia
Cytarabine,Hodgkin Disease
Cytarabine,"Leukemia, Acute Myelocytic, With Polyposis Coli And Colon Cancer"
Cytarabine,"Leukemia, Acute Myeloid; Aml"
Cytarabine,"Anemia, Refractory, with Excess of Blasts"
Cytarabine,"Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall"
Cytarabine,Mismatch Repair Cancer Syndrome
Cytarabine,"Lymphoma, Non-Hodgkin"
Dacarbazine,Hodgkin Disease
Dacarbazine,"Melanoma, Cutaneous Malignant, Susceptibility To, 2; Cmm2"
Dacarbazine,"Melanoma, Cutaneous Malignant; Cmm"
Dacarbazine,Mismatch Repair Cancer Syndrome
Dacarbazine,Neuroblastoma
Dacarbazine,"Rhabdomyosarcoma, Alveolar"
Danazol,Endometriosis
Danazol,"Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency"
Danazol,Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Danazol,Paraplegia
Dantrolene,CADASIL
Dantrolene,"Choreoathetosis/Spasticity, Episodic; Cse"
Dantrolene,"Contractures, Congenital, Torticollis, And Malignant Hyperthermia"
Dantrolene,Hypermetabolism Due To Defect In Mitochondria
Dantrolene,"Malignant Hyperthermia, Susceptibility To, 1; Mhs1"
Dantrolene,"Malignant Hyperthermia, Susceptibility To, 3"
Dantrolene,MELAS Syndrome
Dantrolene,Multiple Sclerosis
Dantrolene,"Spastic Paralysis, Infantile-Onset Ascending; Iahsp"
Dantrolene,"Stroke, Ischemic"
Dasatinib,Dohle Bodies And Leukemia
Dasatinib,"Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall"
Dasatinib,Mismatch Repair Cancer Syndrome
Daunorubicin,Dohle Bodies And Leukemia
Daunorubicin,"Sarcoma, Kaposi"
Daunorubicin,"Leukemia, Acute Myeloid; Aml"
Daunorubicin,"Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall"
Daunorubicin,Mismatch Repair Cancer Syndrome
Decitabine,Classical Lissencephalies and Subcortical Band Heterotopias
Decitabine,"Portal Vein, Cavernous Transformation Of"
Desflurane,"Hypertension, Diastolic, Resistance To"
Desflurane,Insensitivity To Pain With Hyperplastic Myelinopathy
Desflurane,"Renal Failure, Progressive, With Hypertension"
Desipramine,Attention Deficit Disorder with Hyperactivity
Desipramine,Insensitivity To Pain With Hyperplastic Myelinopathy
Desmopressin,"Diabetes Insipidus, Neurohypophyseal"
Desmopressin,"Diabetes Insipidus, Neurohypophyseal Type"
Desmopressin,"Enuresis, Nocturnal"
Desmopressin,"Enuresis, Nocturnal, 2; Enur2"
Desmopressin,"Factor Vii And Factor Viii, Combined Deficiency Of"
Desogestrel,Endometriosis
Desogestrel,Polycystic Ovary Syndrome
Desogestrel,Uterine Anomalies
Desonide,"Growth Retardation, Small And Puffy Hands And Feet, And Eczema"
Desoximetasone,"Growth Retardation, Small And Puffy Hands And Feet, And Eczema"
Dexamethasone,"Asthma, Nasal Polyps, And Aspirin Intolerance"
Dexamethasone,Dermatosis Papulosa Nigra
Dexamethasone,Dohle Bodies And Leukemia
Dexamethasone,"Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency"
Dexamethasone,Exostoses Of Heel
Dexamethasone,"Growth Retardation, Small And Puffy Hands And Feet, And Eczema"
Dexamethasone,Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Dexamethasone,"Hyperthermia, Cutaneous, With Headaches And Nausea"
Dexamethasone,Macular Edema
Dexamethasone,Mismatch Repair Cancer Syndrome
Dexamethasone,Mycosis Fungoides
Dexamethasone,Otitis Media
Dexamethasone,Sarcoidosis
Dexamethasone,Paraplegia
Dexamethasone,"Lupus Erythematosus, Systemic"
